,,offensive,tweet
42,42,1,""" nice girls bad, make me get naughty. Bad yello hoe, real nice body. Down south chick, like em real thick"" http://t.co/bzRDl3kF7U"
43,43,1,""" pimps up pimps up hoes down "" Future voice"
44,44,1,""" post a picture of that pussy get 200 likes """
45,45,1,""" pussy is a powerful drug "" &#128517; #HappyHumpDay http://t.co/R8jsymiB5b"
46,46,1,""" quick piece of pussy call it a drive by """
47,47,1,""" running round here like some brand new pussy thats bout to get fucked """
48,48,1,""" these bitches even worst they'll send them guys for you """
49,49,1,""" these hoes like niggas that spend money not talk bout it """
50,50,1,""" we dont trust these niggas all these bitches """
51,51,1,""" yall niggas b cuffing hoes cause yall aint never have bitches """
52,52,1,""" you dodge a bullet "" &#128517; &#8220;@DaRealKha: ""All da bitches I cut off pregnant or bound to be ....thank God &#128591;""&#8221;"
53,53,1,""" young Pill Chamberlain these bitches love my music """
54,54,1,"""&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;@VandalSavage_: Teanna Trump probably cleaner than most of these twitter hoes but........."""
55,55,1,"""&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;@DaHomieFuzz: Gay niggas couldn't wait to act like bitches tonight"""
56,56,1,"""&#128514;&#128514;&#128514;@The_Paradox: And ima steal his cat n replace it with a pitbull &#128514;&#128514;&#128514;&#128514; RT @80sbaby4life: @The_Paradox He a bitch you should do it"""
57,57,1,"""&amp; he's gone always be a hoe"""
58,58,1,"""...Son of a bitch took my Tic Tacs.""

I like this movie."
59,59,1,"""..All I wanna do is get money and fuck model bitches!"" - Russell Simmons"
60,60,1,"""@2015seniorprobs: I probably wouldn&#8217;t mind school as much if we didn&#8217;t have to deal with bitch ass teachers"". Retweet"
61,61,1,"""@A7XDemery: I'm a fucking fag they said"""
62,62,1,"""@ARIZZLEINDACUT: Females think dating a pussy is cute now? http://t.co/VxBJg26Gsz"" how does doing this stuff make him a pussy?"
63,63,0,"""@Addicted2Guys: -SimplyAddictedToGuys http://t.co/1jL4hi8ZMF"" woof woof hot scally lad"
64,64,1,"""@AdoreBellaaa: Have ya ever asked your bitch for other bitches - kanye voice"" Yes"
65,65,1,"""@AdoreZoey: How u gone bring ur side bitch to a game where You know Ya gf friends at ?! &#128553;&#128553;&#128553;&#128553;"" I SWEAR!!!!!"
66,66,0,"""@AllAboutManFeet: http://t.co/3gzUpfuMev"" woof woof and hot soles"
67,67,0,"""@Allyhaaaaa: Lemmie eat a Oreo &amp; do these dishes."" One oreo? Lol"
68,68,1,"""@Almightywayne__: @JetsAndASwisher @Gook____ bitch fuck u http://t.co/pXmGA68NC1"" maybe you'll get better. Just http://t.co/TPreVwfq0S"
69,69,1,"""@Almightywayne__: Fuck Red Malone man bitch ass niggah"" could you please use complete sentences?"
70,70,0,"""@ArizonasFinest6: Why the eggplant emoji doe?""y he say she looked like scream lmao"
71,71,1,"""@AutoWorId: Hennessey Venom GT &#128584; http://t.co/i8eGMnKaJ9"" that's one sexy bitch"
72,72,1,"""@BOSSBYTCHH: Him seh me pussy wetter then a shower curtain....#ahmesehwetness""&lt;lmao!!"
73,73,1,"""@BRO_HEN314: #Eaglesnation and every #Eagles need to see that pic I just posted because that bitch just said the most racist shit"""
74,74,1,"""@BVSEDCHINK: Yo fuck skateboarding, all y'all some wood pushing faggots man, ball is life http://t.co/VBCzP6HMT7""
@AmJemieBenn"
75,75,0,"""@BabyAnimalPics: baby monkey bathtime http://t.co/7KPWAdLF0R""
Awwwwe! This is soooo ADORABLE!"
76,76,1,"""@BaylaaGottaBody: &#128514;&#128514;&#128514;&#128514; I ain't shit ."" Damn Skippy lol"
77,77,1,"""@BeEasyJrizzy: u ever kill a ant on the sidewalk and think damn what if that nigga was on his way to get some pussy""No bs must b &gt;30%chance"
78,78,1,"""@BeenBasedB: @_KudaBrazyy http://t.co/LuUBGL9Y5u"" 0 rings 0 mvps 0 bitches lol"
79,79,1,"""@BeenFLYnSolo: ppl talk bad about the ghetto/hood ... but as a kid growing up, a nigga had funnnnnnn !"""
80,80,1,"""@BestProAdvice: The facts on tattoos...tattoo http://t.co/ZwnbhpDZ8e"" he's a pussy with not tattooing them nipples"
81,81,1,"""@Bill215_: &#128175;&#128175;&#128175; RT @nel_ayden Bitches be wanting to act like niggas so bad &#128553;&#128553;&#128553; that shit aint cuteeeee"" but niggas act like bitches.."
82,82,1,"""@BitchJones92: Get worshiping bitch! http://t.co/R37CejCjou"" woof woof"
83,83,1,"""@BlackChiquitita: Wow. RT @thatmanpalmer I'm lost. Are those buttcheek piercings? http://t.co/yn6guyOUQ6"" yeah she's a hoe"
84,84,1,"""@BlackNerdJade: Ok, sis."" She'd rather be a broke bitch? *shrugs* she'll have to tell me how it works for her"
85,85,1,"""@Blackman38Tide: @WhaleLookyHere @HowdyDowdy11 queer"" gaywad"
86,86,1,"""@BrokenPiecesmsc: @ItsNotAdam faggot read my tweets after dat k"" it wasn't even funny lol"
87,87,1,"""@BrosConfessions: This bitch was so ungrateful http://t.co/06e77bGwbx"" fr ..... LULWHORE"
88,88,1,"""@CASHandBOOBIES: I been kidnapped yo bitch"""
89,89,1,"""@CB_Baby24: @white_thunduh alsarabsss"" hes a beaner smh you can tell hes a mexican"
90,90,1,"""@CCobey: @AydanMcCoy happy birthday nigs"" Thanks yo"
91,91,1,"""@CHlLDHOODRUINER: when ur teacher tells u that u have homework https://t.co/RKk5vawIj1"" this bitch need to go!!!"
92,92,1,"""@CaelanG15: ""@22EdHam: @CaelanG15 that nigga was eating that hoe lol"" Hell Yea lol john Paul"" nigga said john paul.. http://t.co/OSIpBKPr9h"
93,93,1,"""@CanIFuckOrNah: What would y'all lil ugly bald headed bitches do if they stop making make-up &amp; weave?"""
94,94,1,"""@CarelessOne92: Leafs better win this damn game so I can go riot and shit #EarlyChristmas"" you better start looting my nig"
95,95,1,"""@CauseWereGuys: Going back to school sucks more dick than the hoes who attend it."""
96,96,1,"""@CauseWereGuys: On my way to fuck yo bitch http://t.co/j906T5zE2R"" me as a 9 year old"
97,97,1,"""@CeleyNichole: @white_thunduh how come you never bring me food"" i dont have a car retard"
98,98,1,"""@ChadMFVerbeck: If Richnow doesn't show up with hella tinder hoes Im not his friend anymore"" chill I brought like like 8 prople"
99,99,1,"""@ChandlerParsons: How bout them Cowboys!!!!"" Shutup pussy"
100,100,1,"""@ClicquotSuave: LMAOOOOOOOOOOO this nigga @Krillz_Nuh_Care http://t.co/AAnpSUjmYI"" &lt;bitch want likes for some depressing shit..foh"
101,101,1,"""@Coley_Cee: @lil_aerii girl you know I was spitting that G shit to you &amp; you was going lbvs""bitch plz"
102,102,1,"""@Coley_Cee: Let me make a couple tweets off cuzzo page, so I won't get in twitter jail.""lmao bitch don't trick me again"
103,103,1,"""@ComedyPosts: Harlem shake is just an excuse to go full retard for 30 seconds."""
104,104,1,"""@ComedyTruth: amen miley &#128591; http://t.co/P2Kb2tfyxr""okay, but she don't need to act like a hoe just bc she's ""emotionally damaged"" foh"
105,105,1,"""@CoryBandz: having one loyal female is wayyyyy better than having hoes , idc &#128175;"""
106,106,1,"""@Crhedrys: Pussy licking pussy.... meow meow #StopWhitePeople2014 &#128049; https://t.co/KeegDCjS5K&#8221;""""""""

&#128533;"
107,107,1,"""@DBAB_Holloway: Check out our 12th man. #CowboysNation"" even with all those faggot ny fans in the stands"
108,108,1,"""@DGotBricks: What happen to them vixen ent bitches"" they got ran and threw to the side like a foothill bitch"
109,109,1,"""@DaeDaviDavie: @white_thunduh im the bitch okay nudes pat &#128554;&#128527;&#128056;"" wow"
110,110,1,"""@DevilGrimz: @VigxRArts you're fucking gay, blacklisted hoe"" Holding out for #TehGodClan anyway http://t.co/xUCcwoetmn"
111,111,1,"""@DiamondLoudKush: The fuck be wrong with these bitches?"" Nobody knows"
112,112,1,"""@Dietrich1892: Yall shut up:p"" make me bitch"
113,113,1,"""@DionaIrish: I hate a ""I'm pregnant"" type of bitch."""
114,114,1,"""@DoYou_Q: Got bitches in the DM but I don't ever read'em"" which is y your top 3"
115,115,0,"""@DomWorldPeace: Baseball season for the win. #Yankees"" This is where the love started"
116,116,1,"""@Dommoneek: Little stupid as bitch I don't fuck with yoooooouuuu.."""
117,117,1,"""@DreadheadAri: she really asked me that dead ass serious tho, all i could say was ""bitch wheet"" LOL"
118,118,0,"""@DunderbaIl: I'm an early bird and I'm a night owl, so I'm wise and have worms."""
119,119,0,"""@EdgarPixar: Overdosing on heavy drugs doesn't sound bad tonight."" I do that pussy shit every day."
120,120,0,"""@El_Grillo1: Pit Bulls Photographed As Lovely Fairy Tale Creatures http://t.co/Q0Sm89oOLh&#8221;

They *are* fairy tale creatures."
121,121,1,"""@Ferocious_Ghost: @1stName_Bravo Aw."" ...fag, don't tweet ""aw"" to me lol"
122,122,0,"""@FloKid88: As long as the Lakers trash from now on, I could careless. And that's real."". CC: @BENBALLER hahaha"
123,123,1,"""@Frosstyy_: @h0rheyd I didn't say anything tho"" kiss me then faggot"
124,124,0,"""@FunnyPicsDepot: this the ""I play soccer, cheat on girls, and wear khaki coloured cargos"" haircut http://t.co/ZUai7qWBIR"" &#128514; yup"
125,125,1,"""@G27Status: I could go for a fat ass bitch on my lap"" same"
126,126,1,"""@GEDMelle: 17 missed calls!!!! &#128544;&#128545;""Das yo P.O bitch twitter finna be screamn #FreeMoneyMelle"
127,127,1,"""@GTM_Al: Ya side bitch gotta know it's rules to this shit..anybody ask you my cousin from jersey thinkin bout moving"" lmmfao &#128514;&#128514;&#128514;&#128514;"
128,128,1,"""@GagaTom1: &#8220;@MaleFoot: 3 | Amo los pies http://t.co/4QE1hDkK8i&#8221;"" fuck yeah"
129,129,1,"""@GirlThatsVonte: These hoes be thinking Meat won't slap they ass &#128564;&#128075;"" ainna bruh"
130,130,1,"""@GirlThatsVonte: Yall bitches wit no edges be doing the most talking &#128553;&#128564;&#9995;""&#128514;&#128514;&#128514;"
131,131,1,"""@GirlThatsVonte: Yall still going trick or treating this year or nah?""hell yeah ima be da sweet tooth bandit steal bitches bags n shit"
132,132,1,"""@Girllssues: I wanna have sex with my mom fuck her right in that pussy where I came from"" damn you got hacked like fuck"
133,133,1,"""@Gizzy_Jones94: If she kiss u with her eyes open watch that bitch!""lmfao"
134,134,1,"""@Goofstroop: You a woulda coulda shoulda ass hoe &#128563;&#128586;"""
135,135,1,"""@Gotti_LTF: Happy Bday Bitch Ass Nigga @JetsAndASwisher""preciate that bitch roll up!"
136,136,1,"""@HBMostDope: @1Jayee @PipinHoes used to send that bitch up"""
137,137,1,"""@HBMostDope: Ugly bitches be like I'm my own WCW duh bitch you ain't nobody elses&#128514;&#128514;"""
138,138,1,"""@HaloTGMG: @1stName_Bravo nigga you know we hacky sack hoes."" ...nah, I throw no look passes lmao"
139,139,1,"""@HeartlessFuck: Glad I'm getting outta Atlanta. Nothing but a bunch of niggas in &amp; outta jail &amp; dumb bitches with mad kids fuckin em."""
140,140,0,"""@HermosaAlma: This isn't ghetto.....it's smart https://t.co/MPAzQ3Jswf"" I'm doing this idc"
141,141,1,"""@HiImJoriB: I would wife a hoe only cuz we wouldn't care that we cheating in each other."" ...why force the relationship in the first place?"
142,142,1,"""@HornyFacts: Being single isn't an excuse to be a hoe."" @TheOneMiss_Luu"
143,143,1,"""@HoskinsTy96: White boy power bitch"" black power bitch"
144,144,1,"""@Hudgens_11: Lets get drunk, get blowed, spit shit spark blunts &amp; fuck hoes!"" Bro white dudes have no chill."
145,145,1,"""@IScoutGirls: @verbally_abrupt bitch where u been"" Around the world and back. Where you been?"
146,146,1,"""@ItsYahBoiRay: @anelylove if I don't get my dick sucked at yo party by a bad bitch I'm fr gone set it off &#128514;&#128514;&#128514;&#128514;"" *by @anelylove *"
147,147,1,"""@Itsyesie: #oomf is soooo cute. But he probably has hoes on him a lot."""
148,148,1,"""@JAYten9: In every cartoon theirs alway a @_nuffsaid15 saving these hoes lmao. http://t.co/9uKD8wtZ6x"" lmao damn captain SaveAHoe"
149,149,0,"""@JReebo: Who wants to get there nose in these bad bois then #scally #chav #sockfetish #stinking http://t.co/FeQxgN0W6I"" hot sox and legs"
150,150,1,"""@JamesyNBA: I wish I was a bitch like my brother keezy &#128530;"" ooooow I bet you do"
151,151,1,"""@JasminePore: If you dressed up as a cat for Halloween you are basic."" ...or a pussy"
152,152,1,"""@Jewelxo: Can pornhub just get a gaming stream feature so these dumb bitches can gtfo"" @Pornhub get on it Katie&lt;3"
153,153,1,"""@JoeBudden: stop being scared to choke her during sex u bitch ass niggas. She&#8217;ll like it."". Says the guy who hits women out of bed. FOH"
154,154,1,"""@Johnny55Perez: @white_thunduh ha well iguess I make them hoes loyal bro"" theyll never be loyal that y they hoes my nig"
155,155,1,"""@KazAtta: @1TAKEHOV Oh man.. ""its 5 am, you off a molly, ho where the fuck ya seed at??"""" #fixed"
156,156,1,"""@KelsieBelsi: You're not a man if you refer to every girl as a bitch"""
157,157,1,"""@KeyshawnSwag: Lmfao this cat started beating the shit out of me"" my nigga finally got some pussy?!? MY NIGGA!!!"
158,158,0,"""@KeyshawnSwag: Peel up peel up bring it back up rewind back where I'm from they move Shaq from the line"" ooooow who tf said that trash!!?"
159,159,1,"""@KingCuh: @16stanleys io io alu record ho vine sai pe hahahaha"" lol anywaaaaaays..... haha"
160,160,1,"""@KingHendo95: @VonDreaam naw it's my old tape. new cover . my upcoming mixtape is #KingOfTheHill"" Yeah I'm waiting on that hoe Mayne!"
161,161,1,"""@KingTeej_: Ol dirty foot ass bitches.."" this was too funny to me."
162,162,1,"""@King_Shawn_6: @white_thunduh that's where I get my yellow flags for being amazing &#128079;&#128524;"" HELL YEAH NIGGY"
163,163,1,"""@KissMySmilee: Don't got time for bitches to be actin iffy."""
164,164,0,"""@KnightfanNeal #UCFPINKPARTY come on stay alive knights nation!!!!"" This is still the early bird special. #ComeAtMeUT"
165,165,1,"""@KyraNadiya_: These hoes ain't loyal ; no they ain't http://t.co/h1UBsVbkGl""

Smfh &amp; wonder why nobody decent wants them"
166,166,1,"""@LCisTJ: Bruh, you studs keep thinking I'm soft as hell. Ask ya girl how many times she screamed she was my bitch. Oh okay. STFU."" BYE HOE!"
167,167,1,"""@LODYCASH: dry pussy bitches always blame it on the condom&#128514;""&#128079;&#128514;&#128079;&#128514;"
168,168,1,"""@LUNAraps: shut yo bitch ass up! https://t.co/IemN1u0gm5"" &#128557;&#128514;"
169,169,1,"""@LaFlareGodJosh: Gucci Mane in jail and dropping mixtapes every month and you hoes can't even text back"""
170,170,1,"""@Latrobemark: You love these hoes more then money wats wrong these niggas"""
171,171,1,"""@LeBronVuitton: A loyal bitch from the burbs without daddy issues is like finding a holographic Mewtwo."" ...sounding like me over there lol"
172,172,1,"""@LiLFridayHOE: Easy cum, easy hoe"" That's a fact !"
173,173,1,"""@LifeAsBros: Charlie Sheen is too real http://t.co/gGGdK3kOV7"" major fucking respect for Charlie Sheen."
174,174,1,"""@Lightskingawdd: Wish I had a bae &#128533;""

You got all the hoes tho"
175,175,1,"""@Lil_Mike_12: Fuck twerking bitch can you cook ?"""
176,176,1,"""@Linniekravitz: @WesGodLaFlare bitch wtf"" http://t.co/DaSmycxODB"
177,177,1,"""@Lipe_the_Great: &#8220;@h0rheyd: ""@Lipe_the_Great: Shut up zoe"" fight me pussy&#8221; for zoe? I'm good, man."" You are good ma'am. Move along now"
178,178,1,"""@LolaaIsDope: Lmao fucking snake bitches"" @ em"
179,179,1,"""@Loveable_Aizah: Big booty hoes everywhere sheesh &#128525;"" damn &#127807;&#128064;&#127807;"
180,180,0,"""@MLBNetwork: Stay tuned to @MLBNetwork for an update on the report that @Yankees 1B @teixeiramark25 will be out 8-10 weeks"" @dliming35 #bum"
181,181,0,"""@M_Rad: &#8220;@DezDLT: ""I play soccer, cheat on girls, and wear khaki coloured cargos"" haircut http://t.co/tYCIhD6PkW&#8221; yes lmfao""@soccerboy_04"
182,182,1,"""@MadFlyentist: Oregon chokes every year get off the field trash ass program"" RFT"
183,183,1,"""@MannyDiesel: Def not cowboy lol RT @ArtofFloyd: Terrell Owens was the best Eagle &amp; Cowboy ever"" ..dude cried like a bitch on tv, over Romo"
184,184,1,"""@MarkRoundtreeJr: LMFAOOOO I HATE BLACK PEOPLE https://t.co/RNvD2nLCDR"" This is why there's black people and niggers"
185,185,1,"""@Master11_: @20ToLife_ @GabrielaStarr How could u do this to me bitch"" potent"
186,186,0,"""@MaxMayo77: http://t.co/3Jk4kR44X3"" a pissed lad past out. I would lick his dirty soles while he slept."
187,187,0,"""@MaxMayo77: http://t.co/PrrskknqRv"" love frat boy w/ soft long soles"
188,188,0,"""@MaxMayo77: http://t.co/XpSC3makgJ"" sexy lad with hot soles and arches."
189,189,1,"""@MegamindNick: @white_thunduh nah fam I gotta cheat with the hoes"" depends on the female i feel"
190,190,0,"""@Mesha_nojas: @_Vontethekidd &#128079;&#128079;&#128079;&#128079;&#128588;"" I got hicks lol"
191,191,1,"""@Migsmichelen: This new twitter is confusing the shit out of me."" Go back to south america bitch"
192,192,1,"""@Miikito_x3: Toto means ass or vagina?""I think pussy cause toto santi is like nasty pussy"
193,193,1,"""@MikelaHenry: but what if he actually does choose the ugly bitch over you? &#58381;""Her ass must be fat!"
194,194,1,"""@MileyCyrus: bitch couldn't kill my vibe if ya tried. &#127752;&#127752;&#127752;"" dis why i love miley :*"
195,195,1,"""@Montrell_: I'm tired of bitches saying I look mean.. &#128530;"" nigga you big af, wear tight shirts, and grim everybody."
196,196,0,"""@MotherJones: 10 birds your grandkids may never see, thanks to climate change http://t.co/XqmXHkAsWt http://t.co/RbITeGRnhm"" #Climate"
197,197,1,"""@MvckFadden: ""Stay beautiful you bitch"""""
198,198,1,"""@NICKIMINAJ: #WutKinda

r purple. Ceeeleee""man this gurl was jus playin on the ""stupid hoe "" track. But in still shitted on sum gurls"
199,199,1,"""@NastyCopper: Money getting taller and bitches getting blurry"""
200,200,1,"""@NewsomeJade: I ain't never seen a bitch so obsessed with they nigga&#128514;"" I'm obsessed with mine &#128529;"
201,201,1,"""@Nicholas_ted33: Kobe stay talking trash. But let's not forget http://t.co/VH4tnEkvTP"" @J_Austin12 I meant to do this one. Smh."
202,202,1,"""@NoChillPaz: ""At least I'm not a nigger"" http://t.co/RGJa7CfoiT""

Lmfao"
203,203,1,"""@No_FAKINGG: People always asking me what I'm mixed with."" She a bad asian bitch lol"
204,204,1,"""@NotoriousBM95: @_WhitePonyJr_ Ariza is a snake and a coward"" but at least he isn't a cripple like your hero Roach lmaoo"
205,205,0,"""@OSAY_it_aint_so: &#8220;@IgnoreAllLaws: Fosters home for imaginary trash&#8221; WHOA CHILL""

that show was everything tf"
206,206,1,"""@OfficialReplay: I am lowkey tired."" ...if you tired, be quiet and go to sleep hoe!"
207,207,1,"""@PRAYINGFORHEAD: &#8220;@macklemroe: Stop bringing weird niggers into my mentions! @PRAYINGFORHEAD&#8221; http://t.co/cussDJesRK"""
208,208,1,"""@PRETTyBOSs_BRAt: We don't love these hoes &#128080;&#128581;"""
209,209,1,"""@PatrickQuelo: If yo girl cant have homeboys you a ol weak bitch ass nigga!"""
210,210,1,"""@Patsfanjoe32: @d_palomino52 I think worst advice I gave you was "" don't be a pussy and speed up"" lol"""
211,211,1,"""@PoemsPorn: Quote this tweet with your favorite animal.""pussy"
212,212,1,"""@Poetic_Success: I hate when strippers tell you they're ""dancers"". Hoe, ballet dancers don't pop their pussy to Beethoven. You a STRIPPER!"""
213,213,1,"""@Poffalicious: Andrewbryant: Poff has double vision after 2 beers
Poff: ... Double pussy &#128526;"" smh"
214,214,1,"""@Poobie_: When bitches TWERK on the computer....

ME: ""In ya &#128089;, in ya damn &#128089;&#8252;&#65039;"""""
215,215,1,"""@ProdsJewel_: &#8220;@sreadthepeace: &#8220;@yungmindless: @PeacePunkPrince Prince, THIS is art. http://t.co/EPHRWxMBHr&#8221; nobody takin his bitch!"
216,216,0,"""@QUAN1T0: 61% of welfare/government aid is claimed by white people. So y'all black slander is trash now."""
217,217,1,"""@QUAN1T0: These bitches don't care they just play that role."""
218,218,1,"""@Queen_Kaaat: It took a while for you to find me, but I was hiding In the lime tree.""
@Iemonaids dis bitch in da wrong tree bro."
219,219,1,"""@RTNBA: Drakes new shoes that will be released by Nike/Jordan.... Yes, there's glitter on the shoes http://t.co/QCtPLxHEXM"" ....dudes a fag"
220,220,0,"""@RachieSoul: @DizzleOfficial inna di ghetto!!!"" You alone lmaoo"
221,221,0,"""@RamBoutIt: &#8220;@Master11_: @20ToLife_ @RamBoutIt hoes Austin&#8221; teach us Austin.""I teach u how to get curved? That's all I know"
222,222,1,"""@ReachtheeCLIMAX: bitches can't cook but know how to suck dick .."" s/o to the ones that can do both!"
223,223,1,"""@RenegadeMo: Fat hoes get chose"" lol"
224,224,1,"""@RiahSM: #hoesaintloyal"" well they're hoes,no one expects them to be loyal"
225,225,1,"""@RishaaWilliams: @TRESHON_SCROOGE @_Nevertrustt ol bitch ass"" http://t.co/AmcOinY0wG"
226,226,1,"""@RnadJorell: Bruh im tired of niggas retweetin Miley Cyrus naked that bitch aint no types of bad"" lmaooo"
227,227,1,"""@SacTownProdigy: Just because tony romo at the mavs game dont mean he still not a bitch lmao.. Fuk them cowgirls"" lol bitch fuck you"
228,228,1,"""@SamJLayman : Holy shit, Freddie Highmore was in Charlie and the Chocolate Factory""
Me: *rolls on the floor, laughing*"
229,229,1,"""@Samirahusic_: ""I don't want to have sex with my gf because I feel like I'm using her.."" - anonymous"" Whata faggot"
230,230,1,"""@SexualGxfs: @ One of your followers with this &#128525;&#128553; http://t.co/F1TJl9xnCT"" @ somebody, bitch if you don't"
231,231,1,"""@Shaa_Jenkins: If ya bitch always bitching clearly she care!"" Or just an annoying Bitch!"
232,232,1,"""@ShanTaughtHer: These catfish hoes thinkin they slick.. But niggas catching on &#128524;"""
233,233,1,"""@SheWentToJordan: Can't worry about a bitch that ain't worried bout me"" #real"
234,234,1,"""@ShowArrive: Side hoes are for insecure niggas that can't handle a real one."""
235,235,1,"""@Shun_stokes: &#128514;&#128514;&#128514;&#128514;RT @bluprint_4: Lmao! This bitch come scooting in the tent like she about to fuck some shit up!"" &#128557;&#128557;&#128557;"
236,236,1,"""@Shun_stokes: My cousin said he share hoes with his brothers. He said sharing is caring and he love his brothers &#128514;"""
237,237,1,"""@SlimGirl_Probz: i'm hungry but ionn wanna spend my money on food&#128530;""Broke hoe problems &#128514;&#128514;&#128514;&#128128;"
238,238,1,"""@SmeegBaby: Dese hoes be LYIN to all of us nigga"""
239,239,1,"""@SnakecharmsDump: http://t.co/4b427dQZCV"" oh yeah fuck that bitch"
240,240,0,"""@SportsCenter: Eli Manning just threw his NFL-leading 27th interception of the season."" Lmao trash"
241,241,0,"""@SportsCenter: USC senior RB Anthony Brown calls head coach Steve Sarkisian a racist and quits team. &#187; http://t.co/JOOsdSubIR"" he's a bitch"
242,242,1,"""@StellaTex: Guess what? I also have zero time for your mansplaining! Adios!"" Stfu pussy"
243,243,0,"""@Stephenwildboy: Chilling &#128069;&#8482; http://t.co/mik3iPNle6"" sexy scally lad"
244,244,1,"""@Strap__: I ain't sharing no bitch if you mines you mines &#128175;"""
245,245,1,"""@SukMySweetness: money only impress the simple broke bitches"""
246,246,1,"""@Sylvieamx: #Pisces will never be anybody's bitch, they don't let people control or change them."" Rigghhht"
247,247,0,"""@TEE_JONEZ: @16stanleys @KingCuh tuku ho idk blah blah blah"" &#128514;&#128514;&#128514;"
248,248,0,"""@TEE_JONEZ: @KingCuh @16stanleys I'm not mad cuh hahaha"" suure.. tuku ho ita! &#128514;&#128514;"
249,249,1,"""@TayKnosBest: These hoes is crazy"""
250,250,1,"""@Taylorr_Babee: You ain't ever gonna be a slice bitch."" Kevin hart. (:"
251,251,1,"""@ThatniggaTroy: Oomf so fuckin fine tho &#128553; dam"" @ her, don't be no bitch."
252,252,1,"""@TheGamerKingKev: I wonder if the girl that gave head to 24 boys for a drink in magaluf has twitter"" she probly sends nudes for fags"
253,253,1,"""@TheNewSAT: #NewSATQuestions
Yeah bitch, yeah bitch, call me _______:
a.) Maybe
b.) Steve-O
c.) Later
d.) Jesse Pinkman""
@machinegunkelly"
254,254,1,"""@TheNymphoTweets: Hickies in between her thighs right by her pussy &gt;&gt;&gt;"" Its only right"
255,255,1,"""@TheOneMiss_Luu: Would you still love me when I'm no longer young and beautiful?"" No. Ugly monkey ass."
256,256,1,"""@TheRealRickyB21: @JetsAndASwisher @Gook____ y'all come through the front.""bitch I ain't coming"
257,257,1,"""@TheRealRickyB21: @JetsAndASwisher faggot bitch"" http://t.co/2HyyAbk4eH"
258,258,1,"""@The_Realist_Sam: @Madrid2_ yea, I'm on my iPad. I don't work this Friday. Let's ball this faggot up @TropicalBlanket""i work 2-5"
